Plot,trt,blk,rate1,rate2,rate3,AUDPC,tarspot,Greenseeker,standcount,Plants acre-1,Yield (bu/ac),Test Weight (lbs/bu),,
1001,6,1,0,0.04,0.26,2.8,8,0.2,34,34000,329.28,53.16,,
1002,2,1,2.12,5.93,21.33,308.7,3,0.17,30.5,30500,254.62,53.22,,
1003,8,1,2.6,1.49,3.77,97.3,1.8,0.18,33.5,33500,292.85,53.17,,
1004,9,1,2.63,1.95,3.77,107.8,4.3,0.17,34,34000,306.33,53.12,,
1005,7,1,0.98,0.89,2.77,53.2,2.3,0.18,32.5,32500,279.84,52.91,,
1006,5,1,0.13,0.91,1.35,31.1,7.3,0.16,34.5,34500,261.22,51.45,,
1007,3,1,0.1,0.63,1.78,27.6,9.2,0.16,34.5,34500,254.28,52.93,,
1008,4,1,0.34,1.63,8.9,102.5,7.7,0.16,35,35000,249.55,53.93,,
1009,10,1,0.02,0.14,0.25,5.1,0.6,0.15,34,34000,281.04,53.01,,
1010,1,1,1.11,3.6,18.37,222.6,5,0.15,34,34000,232.27,53.62,,
2001,3,2,0.02,0.24,0.76,10.9,3.8,0.17,32,32000,255.55,53.33,,
2002,10,2,0.04,0.18,0.16,5.5,0.2,0.15,33,33000,290.72,51.82,,
2003,4,2,0.35,0.93,3.33,48.7,3.8,0.16,32,32000,219.19,52.63,,
2004,8,2,1.19,1.24,1.71,56.6,2.8,0.16,30.5,30500,262.96,54.01,,
2005,5,2,0.2,0.46,1.05,20.4,13.2,0.17,29,29000,292.12,53.25,,
2006,2,2,1.12,3.33,14.87,192.6,8.2,0.15,31,31000,216.05,54.34,,
2007,7,2,0.79,0.58,1.93,37.9,6.3,0.16,27.5,27500,275.84,52.93,,
2008,6,2,0,0.08,0.44,4.9,11.5,0.18,29,29000,296.39,53.98,,
2009,9,2,1.54,1.47,3.07,76.1,4.7,0.16,27,27000,301.26,53.8,,
2010,1,2,1.42,4.57,28.6,319.6,3.7,0.16,27,27000,296.05,54.24,,
3001,10,3,0.1,0.27,0.3,9.3,5.7,0.19,32.5,32500,294.52,53.22,,
3002,3,3,0.15,0.95,3.62,47.9,11.5,0.16,33,33000,280.51,53.41,,
3003,2,3,1.74,3.37,20.5,241.9,3.2,0.18,34,34000,233.33,53.12,,
3004,8,3,1.7,1.25,2.2,67.8,3.7,0.19,34,34000,300.52,53.89,,
3005,7,3,0.88,1.8,2.02,66,4.8,0.18,32.5,32500,294.05,53.67,,
3006,5,3,0.02,0.27,0.88,12.2,9.8,0.18,32.5,32500,317.54,53.75,,
3007,1,3,0.47,2.53,17.67,185.1,7.7,0.18,31.5,31500,246.34,53.5,,
3008,6,3,0.01,0.17,0.4,6.6,13.7,0.19,32.5,32500,316.2,53.8,,
3009,4,3,0.85,2.87,11.4,154.2,10.3,0.18,32.5,32500,276.24,53.31,,
3010,9,3,1.1,1.12,3.55,65.4,6.2,0.18,30.5,30500,313.8,53.39,,
4001,2,4,1.23,3.73,25.33,276,3,0.18,33,33000,325.68,52.22,,
4002,5,4,0.3,1.25,3.82,58.1,9.7,0.16,32.5,32500,282.11,53.51,,
4003,8,4,0.97,0.82,1.8,44.9,8.7,0.12,31.5,31500,291.12,53.31,,
4004,4,4,0.71,2.1,7.93,111.4,15.3,0.17,30.5,30500,259.89,53.17,,
4005,1,4,0.96,4.03,14.77,204.4,10.7,0.19,30.5,30500,277.9,54.17,,
4006,6,4,0,0.06,0.32,3.4,14.8,0.17,30,30000,308.86,53.26,,
4007,9,4,1.23,1.04,1.65,52.4,7.5,0.17,29,29000,270.5,53.27,,
4008,3,4,0.28,0.66,3.52,43,6.2,0.19,27.5,27500,309.6,53.54,,
4009,7,4,0.31,0.4,1.28,22.4,2.8,0.16,27.5,27500,297.99,53.01,,
4010,10,4,0.14,0.17,0.12,6.6,2.8,0.17,26.5,26500,322.01,53.61,,
